RegionName,VAChT,D2,5-HT1b,5-HT2a,5-HT1a,5-HTT,5-HT4,NET,mGluR5,GABAa,DAT,H3,a4b2,D1,MOR,CB1,M1,5-HT6,KOR
R_rostralanteriorcingulate,0.4427562222122201,0.3174315528387567,0.2862862151304482,0.27690785008664226,0.4309417780861386,0.35644617826663466,0.2175418322489825,0.16282981693700715,0.8754680788495418,0.22334432483893285,0.5577269586381345,1.0,0.5465720262729442,0.8614033891638447,0.9899926417569028,0.8945469491105946,0.5237776286399786,0.694187271570047,0.7420960225576764
R_rostralmiddlefrontal,0.32223776756327055,0.28019150000114307,0.5685967608452007,0.6678583772521014,0.41872698977331335,0.1339877657960921,0.4579125764442104,0.492088754025153,0.7171801019955034,0.5077672567586489,0.3219608967274388,0.45552331836721865,1.0,0.6047714267089436,0.8083328315349105,0.9178906241429531,0.8684919576817701,0.8906970107968746,0.7487446280221314
R_superiorfrontal,0.34498903430459255,0.20633544764830716,0.510682889740332,0.5612258948747839,0.3503517384869262,0.11809184865400053,0.3889315881950532,0.3565641547584024,0.6348249445860465,0.3878864576676624,0.20916288376420675,0.534671458724713,0.8542818209685464,0.3579818528036477,0.7871501722294991,0.6824204867909055,0.6315997789510571,0.7184084668848566,0.6944989246175582
R_superiorparietal,0.12709583218198084,0.2049362905661541,0.34802852626046205,0.35957612006059725,0.23598991621333587,0.013805255751868608,0.26983062337864183,0.3752819608170882,0.39666039760782684,0.31945275077955787,0.16093020199808217,0.1582667232429322,0.7109413411491716,0.1760392822049498,0.4227025565153787,0.44080192802960416,0.6948330800756183,0.66878140688033,0.48294024104478045
R_superiortemporal,0.41338083723957636,0.5040532928019485,0.37104636100519905,0.6890352596268567,0.5469374742357278,0.44269454530231195,0.7960252379777046,0.40335295601550647,0.6852662433900765,0.41656841743237283,0.45847306895271495,0.34156941109910277,0.5748793285028374,0.5007051307089867,0.5695609654163897,0.6896705775589117,0.8320966324836664,0.6980998585472388,0.5496059056608873
R_supramarginal,0.3236795023325594,0.36248174492096036,0.4372691877961948,0.613914380464262,0.39930742226871374,0.15511088426902295,0.6039191437982953,0.5727087118140085,0.8038437147089358,0.4259035625900163,0.3510070461872869,0.2570476135212439,0.790812828769875,0.5252249876823911,0.6694364695251624,0.6634383903641877,0.8173707554186835,0.7199705035247929,0.6481642585569803
R_frontalpole,0.18556784733307488,0.21315320676928037,0.6000946288803998,0.8398410834339474,0.5260177547372895,0.23265907237928574,0.7723721048881441,0.02727221260008823,0.5739453595964082,0.4659861646745295,0.03871324602034808,0.32374764567783926,0.7946748060014988,0.6582534738711685,0.7293184588346209,0.8349194735332779,0.8496433284120797,0.47657734553176573,0.5287857242411517
R_temporalpole,0.030388426064570907,0.6541559925551644,0.1572155775878581,0.4547883743271171,0.7973739220652214,0.7913661790551757,0.7348329339490437,0.05965563444783941,0.3059911293223641,0.1513824952807323,0.44600805189306597,0.13497658371232177,0.21781525081393177,0.41893388552270044,0.7266493904339745,0.655824900959354,0.6445817789682371,0.4262140062818591,0.6651842391414917
R_transversetemporal,0.7187633903283199,0.3639726206563539,0.5472170842215714,0.7701936074354874,0.46183997450465286,0.724664494881833,0.5630488216517351,0.9313293132953862,0.8839892224632844,0.6371919845667465,0.6121464172226443,0.5096219544923731,0.7860460128224902,0.8417442189128151,0.3928961721651665,0.540692751373025,0.8934846286626649,0.7829968997120509,0.5516315660501626
R_insula,0.8282887390721193,0.839818881538999,0.4073168909765621,0.5081132482820242,0.6126634696430264,0.8705513111647892,0.6200767414106131,0.4079719960914362,0.7559694255897256,0.38003578274729793,0.9835630530204273,0.6488983343850716,0.7682948224692372,0.8699876625685528,0.7941776112093044,0.7556441818976989,0.8169293623522109,0.8247836617563394,0.8760143104966011
